[2026-03-29T00:52:53.837Z] GET http://localhost:8743/img-work.jpg → 200 (?ms, 455776B)
[2026-03-29T00:53:42.628Z] GET http://localhost:8743/ → 200 (2ms, 80898B)
[2026-03-29T00:53:42.632Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:53:42.634Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (1ms, ?B)
[2026-03-29T00:53:42.635Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-29T00:53:42.635Z] GET http://localhost:8743/img-lawn.jpg → 200 (?ms, 323798B)
[2026-03-29T00:53:42.635Z] GET http://localhost:8743/img-pressure.jpg → 200 (?ms, 333598B)
[2026-03-29T00:53:42.635Z] GET http://localhost:8743/img-car.jpg → 200 (?ms, 251278B)
[2026-03-29T00:53:42.635Z] GET http://localhost:8743/img-work.jpg → 200 (?ms, 455776B)
[2026-03-29T00:53:43.825Z] GET http://localhost:8743/ → 200 (?ms, 80898B)
[2026-03-29T00:53:43.827Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:53:43.830Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-03-29T00:53:43.830Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-29T00:53:43.830Z] GET http://localhost:8743/img-lawn.jpg → 200 (1ms, 323798B)
[2026-03-29T00:53:43.831Z] GET http://localhost:8743/img-pressure.jpg → 200 (?ms, 333598B)
[2026-03-29T00:53:43.831Z] GET http://localhost:8743/img-car.jpg → 200 (?ms, 251278B)
[2026-03-29T00:53:43.831Z] GET http://localhost:8743/img-work.jpg → 200 (?ms, 455776B)
[2026-03-29T00:53:49.964Z] GET http://localhost:8743/ → 200 (?ms, 80898B)
[2026-03-29T00:53:49.966Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:53:49.969Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-03-29T00:53:49.969Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-29T00:53:49.969Z] GET http://localhost:8743/img-lawn.jpg → 200 (?ms, 323798B)
[2026-03-29T00:53:49.969Z] GET http://localhost:8743/img-pressure.jpg → 200 (?ms, 333598B)
[2026-03-29T00:53:49.969Z] GET http://localhost:8743/img-car.jpg → 200 (?ms, 251278B)
[2026-03-29T00:53:49.969Z] GET http://localhost:8743/img-work.jpg → 200 (1ms, 455776B)
